review_id,review,rating,date,source,bank
151,it's good app,5,2025-10-14,Google Play,Commercial Bank of Ethiopia
152,very slow,1,2025-10-14,Google Play,Commercial Bank of Ethiopia
153,berhan deriba wami,4,2025-10-14,Google Play,Commercial Bank of Ethiopia
154,good,5,2025-10-13,Google Play,Commercial Bank of Ethiopia
155,mahamad Usman,5,2025-10-13,Google Play,Commercial Bank of Ethiopia
156,Erako,5,2025-10-13,Google Play,Commercial Bank of Ethiopia
157,🔥🔥🔥🔥🔥,5,2025-10-13,Google Play,Commercial Bank of Ethiopia
158,opne,5,2025-10-13,Google Play,Commercial Bank of Ethiopia
159,mehommd nuri,5,2025-10-13,Google Play,Commercial Bank of Ethiopia
160,Best,5,2025-10-12,Google Play,Commercial Bank of Ethiopia
161,good,5,2025-10-12,Google Play,Commercial Bank of Ethiopia
162,providing very secure service.,5,2025-10-12,Google Play,Commercial Bank of Ethiopia
163,good,5,2025-10-12,Google Play,Commercial Bank of Ethiopia
164,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,Google Play,Commercial Bank of Ethiopia
165,ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,Google Play,Commercial Bank of Ethiopia
166,RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,Google Play,Commercial Bank of Ethiopia
167,it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,Google Play,Commercial Bank of Ethiopia
168,Mamma Husen,2,2025-10-11,Google Play,Commercial Bank of Ethiopia
169,ok,5,2025-10-11,Google Play,Commercial Bank of Ethiopia
170,3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Google Play,Commercial Bank of Ethiopia
171,good,5,2025-10-10,Google Play,Commercial Bank of Ethiopia
172,exceptional application from others bank,5,2025-10-10,Google Play,Commercial Bank of Ethiopia
173,"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Google Play,Commercial Bank of Ethiopia
174,good👍👍👍😊😊😊,5,2025-10-10,Google Play,Commercial Bank of Ethiopia
175,really good app,5,2025-10-10,Google Play,Commercial Bank of Ethiopia
176,smart bank CBE,5,2025-10-10,Google Play,Commercial Bank of Ethiopia
177,Ali urgesa11,3,2025-10-09,Google Play,Commercial Bank of Ethiopia
178,it's good,5,2025-10-09,Google Play,Commercial Bank of Ethiopia
179,Good apps,5,2025-10-09,Google Play,Commercial Bank of Ethiopia
180,good,5,2025-10-09,Google Play,Commercial Bank of Ethiopia
181,password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,Google Play,Commercial Bank of Ethiopia
182,good,5,2025-10-09,Google Play,Commercial Bank of Ethiopia
183,best app i ever seen,5,2025-10-09,Google Play,Commercial Bank of Ethiopia
184,it's game changing in financial system,4,2025-10-09,Google Play,Commercial Bank of Ethiopia
185,"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,Google Play,Commercial Bank of Ethiopia
186,will good updating,5,2025-10-09,Google Play,Commercial Bank of Ethiopia
187,"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,Google Play,Commercial Bank of Ethiopia
188,why removing screenshot feature why?,2,2025-10-08,Google Play,Commercial Bank of Ethiopia
189,very good application! thank you all who participate!,5,2025-10-08,Google Play,Commercial Bank of Ethiopia
